University or School Name,Website,Street Address,City,State,Zip,Library Name,Library Website,Twitter Profile,Blog,Facebook Page,Staff Directory Page
Loyola University Chicago,http://www.luc.edu/law/,25 E. Pearson Street,Chicago,IL,60611,Law Library,http://www.luc.edu/law/library/index.html,none found,http://www.luc.edu/law/library/homenews/,https://www.facebook.com/Loyola-University-Chicago-Law-Library-446936512055714/,http://www.luc.edu/law/library/about/staffdirectory/
Northwestern University,http://www.law.northwestern.edu/,357 East Chicago Avenue,Chicago,IL,60611,Pritzker Legal Research Center,http://www.law.northwestern.edu/library/,https://twitter.com/NULawLibrary,none found,https://www.facebook.com/NorthwesternLawLibrary/,http://www.law.northwestern.edu/library/aboutus/contactus/
The John Marshall Law School,http://www.jmls.edu/,315 S. Plymouth Court,Chicago,IL,60604,Louis L. Biro Law Library,http://library.jmls.edu/,https://twitter.com/JMLSLawLib,http://library.jmls.edu/blog/,https://www.facebook.com/jmlslibrary/,http://library.jmls.edu/staff.php
University of Chicago Law School,http://www.law.uchicago.edu/,1121 East 60th Street,Chicago,IL,60637,D'Angelo Law Library,http://www.lib.uchicago.edu/e/law/index.html,https://twitter.com/dangelolaw,http://news.lib.uchicago.edu/law/,https://www.facebook.com/dangelolawlibrary,http://www.lib.uchicago.edu/e/law/using/staff/
Northern Illinois University,http://law.niu.edu/,Swen Parson Hall,Dekalb,IL,60115,David C. Shapiro Memorial Law Library,http://law.niu.edu/law/academic/library/index.shtml,none found,http://law.niu.edu/law/academic/library/news/index.shtml,none found,http://law.niu.edu/law/academic/library/staff.shtml
Indiana University - Bloomington (Maurer School of Law),http://www.law.indiana.edu/,211 S. Indiana Avenue,Bloomington,IN,47405-7001,Jerome Hall Law Library,http://law.indiana.edu/lawlibrary/index.shtml,https://twitter.com/IUMaurerLawLib,http://law.indiana.edu/lawlibrary/blawg/index.php,https://www.facebook.com/JeromeHallLawLibrary/,http://law.indiana.edu/lawlibrary/about/staff.shtml
Indiana University-Indianapolis (Robert H. McKinney School of Law),http://www.mckinneylaw.iu.edu,530 W. New York St.,Indianapolis,IN,46202,Ruth Lilly Law Library,http://www.mckinneylaw.iu.edu/library/index.html,none found,none found,none found,http://www.mckinneylaw.iu.edu/library/about-the-library/personnel.html
University of Notre Dame,http://www.nd.edu/~ndlaw/,1100 Eck Hall of Law,Notre Dame,IN,46556,Kresge Law Library,http://law.nd.edu/library/,https://twitter.com/NDLawLibrary,none found,none found,http://law.nd.edu/library/library-information/library-staff-and-departments/
Valparaiso University,http://www.valpo.edu/law,656 South Greenwich Street,Valparaiso,IN,46383,Law Library,http://www.valpo.edu/law/current-students/law-library,none found,http://www.valpolawlibrary.blogspot.com,none found,http://www.valpo.edu/law/current-studentsc-law-libraryc-quick-linksc-law-library-faculty-and-staff
University of Kansas,http://www.law.ku.edu/,1535 W. 15th Street,Lawrence,KS,66045,Wheat Law Library,http://law.ku.edu/wheat-law-library,none found,none found,none found,https://law.drupal.ku.edu/sites/law.drupal.ku.edu/files/docs/resources/library/Library%20Guide%202015-16.pdf
Washburn University,http://washburnlaw.edu/,1700 SW College Avenue,Topkea,KS,66621,Law Library,http://washburnlaw.edu/library/index.html,none found,http://www.washlaw.edu,none found,http://washburnlaw.edu/profiles/librarystaff/index.html
Northern Kentucky University (Chase College of Law),http://www.nku.edu/~chase,Nunn Drive,Highland Heights,KY,41099,Law Library,http://chaselaw.nku.edu/library.html,none found,none found,https://www.facebook.com/ChaseLawLibrary/,http://chaselaw.nku.edu/library/contact.html
University of Kentucky,http://www.uky.edu/Law/,620 S. Limestone ,Lexington,KY,40506-0048 ,Law Library,http://library.law.uky.edu/home,none found,http://ukylawlibrary.blogspot.com/,https://www.facebook.com/uklawlibrary/,http://law.uky.edu/directory/library
University of Louisville,http://www.law.louisville.edu/,2301 South Third Street,Louisville,KY,40208,Law Library,http://louisville.edu/law/library,new books,none found,https://www.facebook.com/uofllawlib,http://louisville.edu/law/library/about
Louisiana State University,http://www.law.lsu.edu/,1 E. Campus Dr.,Baton Rouge,LA,70803,Law Library,http://www.law.lsu.edu/library/,https://twitter.com/lsulawlibrary,none found,https://www.facebook.com/lsulawlibrary/,http://www.law.lsu.edu/library/contact-us/
Southern University,http://www.sulc.edu/,2 Roosevelt Steptoe Street,Baton Rouge,LA,70813,Oliver B. Spellman Law Library,http://www.sulc.edu/current-students/library/,none found,none found,none found,http://www.sulc.edu/directory/?department=Library
Loyola University New Orleans,http://www.loyno.edu/law,526 Pine Street,New Orleans,LA,70118,Law Library,http://law.loyno.edu/library,none found,http://lunolaw.blogspot.com/,https://www.facebook.com/Loyola-University-New-Orleans-Law-Library-136448459761985/,http://law.loyno.edu/library/bios
Tulane University Law School,http://www.law.tulane.edu/,6329 Freret Street ,New Orleans,LA,70118,Law Library,http://library.law.tulane.edu/screens/index.html,https://twitter.com/TULLNathanHale,none found,https://www.facebook.com/Tulane-Law-Library-258158010875720/,http://library.law.tulane.edu/screens/stafflisting.html
Boston University,http://web.bu.edu/LAW/,765 Commonwealth Ave,Boston,MA,02215,Fineman & Pappas Law Libraries,http://www.bu.edu/lawlibrary/,https://twitter.com/BULawLib,http://www.bulawinteractive.org/libraryblog/,https://www.facebook.com/bulawlibrary/,http://www.bu.edu/lawlibrary/about/staff.html
New England Law,http://www.nesl.edu/,154 Stuart Street ,Boston,MA,02116,Law Library,http://www.nesl.edu/library/,https://twitter.com/Nelawlibrary,none found,https://www.facebook.com/NElawlibrary/,http://www.nesl.edu/library/staff.cfm
Northeastern University,http://www.slaw.neu.edu/,416 Huntington Avenue,Boston,MA,02115,Law Library,http://www.northeastern.edu/law/library/index.html,none found,none found,none found,http://www.northeastern.edu/law/library/staff.html
Suffolk University,http://www.law.suffolk.edu/,120 Tremont Street,Boston,MA,02108,John Joseph Moakley Law Library,http://www.suffolk.edu/law/library.php,none found,http://suffolklawlibrary.blogspot.com/index.html,https://www.facebook.com/Suffolk-University-Moakley-Law-Library-129759473704449/,http://www.suffolk.edu/law/library/19771.php
Harvard University,http://www.law.harvard.edu/,1545 Massachusetts Avenue,Cambridge,MA,02138-2903,Harvard Law School Library,http://hls.harvard.edu/library/,https://twitter.com/hlslib,http://etseq.law.harvard.edu/,https://www.facebook.com/hlslibrary/,http://hls.harvard.edu/library/about-the-library/staff-directory/
University of Massachusetts - Dartmouth,http://www.umassd.edu/law/,333 Faunce Corner Road,Dartmouth,MA,02747-1252,Law Library,http://www.umassd.edu/law/library/,none found,none found,https://www.facebook.com/umasslawlibrary/,http://www.umassd.edu/law/library/lawlibrarystaff/
Boston College,http://www.bc.edu/schools/law/,885 Centre St.,Newton Centre,MA,02459,Law Library,http://www.bc.edu/schools/law/library.html,https://twitter.com/BCLawLib,http://bclegaleagle.blogspot.com,https://www.facebook.com/Boston-College-Law-Library-13803164549/,http://www.bc.edu/schools/law/library/about/staff.html
Western New England University,http://www1.law.wne.edu/,1215 Wilbraham Road,Springfield,MA,01119,Law Library,http://www1.law.wne.edu/library/,https://twitter.com/WNElawlibrary,http://wnelawlibrary.blogspot.com,https://www.facebook.com/wnelawlibrary/,http://www1.law.wne.edu/library/index.cfm?selection=doc.521
University of Baltimore,http://law.ubalt.edu/index.cfm,1401 N. Charles St.,Baltimore,MD,21201,School of Law Library,http://law.ubalt.edu/library/,https://twitter.com/ubaltlawlibrary,https://ublawlibrary.wordpress.com,https://www.facebook.com/University-of-Baltimore-Law-Library-18697948537/,http://law.ubalt.edu/library/information/staff/index.cfm
University of Maryland (Francis King Carey School of Law),http://www.law.umaryland.edu/,500 W. Baltimore Street,Baltimore,MD,21201-1786,Thurgood Marshall Law Library,http://www.law.umaryland.edu/marshall/,https://twitter.com/UMDLawLibrary,http://umlaw.typepad.com/tmll_news/,https://www.facebook.com/Thurgood-Marshall-Law-Library-126814084040772/,http://www.law.umaryland.edu/marshall/aboutlibrary/contact.html
University of Maine,http://mainelaw.maine.edu/,246 Deering Avenue,Portland,ME,04102,Donald L. Garbrecht Law Library,http://mainelaw.maine.edu/library/,https://twitter.com/UMELawLibrary,http://umainelawlib.blogspot.com/,https://www.facebook.com/Donald-L-Garbrecht-Law-Library-University-of-Maine-School-of-Law-22057463866/,http://mainelaw.maine.edu/library/about-library/contact-us/
University of Michigan,http://www.law.umich.edu/,801 Monroe Street,Ann Arbor,MI,48109-1210,Law Library,http://www.law.umich.edu/library/info/Pages/default.aspx,none found,none found,none found,http://www.law.umich.edu/library/info/contact/Pages/default.aspx
WMU Thomas M. Cooley (Auburn Hills),http://www.cooley.edu/,2630 Featherstone ,Auburn Hills,MI,48326,Law Library,http://www.cooley.edu/library/contact.html,none found,none found,none found,http://www.cooley.edu/library/contact.html
University of Detroit Mercy,http://www.law.udmercy.edu/,651 East Jefferson Avenue,Detroit,MI,48226,Kresge Law Library,http://www.law.udmercy.edu/index.php/law-library/law-library-1,https://twitter.com/udmlawlib,none found,https://www.facebook.com/udmlawlib/,http://www.law.udmercy.edu/index.php/law-library/about-us/staff
Wayne State University,http://www.law.wayne.edu/,474 Gilmour Mall,Detroit,MI,48202,Arthur Neef Law Library,https://library.wayne.edu/neef/,none found,none found,https://www.facebook.com/waynestateneeflawlibrary/,https://library.wayne.edu/neef/
Michigan State University,http://www.law.msu.edu/,648 N. Shaw Lane,East Lansing,MI,48824-1300,John F. Schaefer Law Library,http://www.law.msu.edu/library/index.html,none found,none found,https://www.facebook.com/John-F-Schaefer-Law-Library-MSU-College-of-Law-111980292201093/,http://www.law.msu.edu/directory.php?view=dept
WMU Thomas M. Cooley (Grand Rapids),http://www.cooley.edu/,"111 Commerce Avenue, SW",Grand Rapids,MI,49503,Law Library,http://www.cooley.edu/library/contact.html,none found,none found,none found,http://www.cooley.edu/library/contact.html
WMU Thomas M. Cooley (Lansing),http://www.cooley.edu/,300 S. Capitol Avenue,Lansing,MI,48933,Law Library,http://www.cooley.edu/library/contact.html,none found,none found,none found,http://www.cooley.edu/library/contact.html
University of Minnesota,http://www.law.umn.edu/,229 19th Avenue South,Minneapolis,MN,55455,Law Library,http://library.law.umn.edu/,none found,http://umnlawlib.blogspot.com,none found,http://library.law.umn.edu/geninformation.html#directory
University of St. Thomas,http://www.stthomas.edu/law/,1000 LaSalle Avenue,Minneapolis,MN,55403,Schoenecker Law Library,http://www.stthomas.edu/law/studentsupport/libraryit/,none found,none found,none found,http://www.stthomas.edu/law/studentsupport/libraryit/aboutthelibrary/librarystaff/
Mitchell Hamline School of Law,http://www.wmitchell.edu/,875 Summit Avenue,Saint Paul,MN,55105,Warren E. Burger Library,http://mitchellhamline.edu/library/,https://twitter.com/BurgerLibrary,none found,https://www.facebook.com/BurgerLibrary/,none found
University of Missouri,http://www.law.missouri.edu/,122 Hulston Hall ,Columbia,MO,65211 ,Law Library,http://www.law.missouri.edu/library/,https://twitter.com/MULawLibrary,none found,https://www.facebook.com/MizzouLawLibrary,http://law.missouri.edu/about/category/library/
University of Missouri - Kansas City,http://www.law.umkc.edu/,500 E. 52nd Street,Kansas City,MO,64110,Leon E. Bloch Law Library,https://law.umkc.edu/library/,none found,none found,https://www.facebook.com/umkclawlibrary/,https://law.umkc.edu/directory/staff-directory/?cn-s=&cn-cat=43&cn-pg=1&cn-pg=1
Saint Louis University,http://law.slu.edu/,100 North Tucker Boulevard,St. Louis,MO,63101,Vincent C. Immel Law Library,http://law.slu.edu/library,https://twitter.com/slulawlibrary,none found,https://www.facebook.com/SLU-Law-Library-128831620502018/,http://law.slu.edu/library/faculty-staff
Washington University in St. Louis,http://law.wustl.edu/,One Brookings Drive,St. Louis,MO,63130,Law Library,http://law.wustl.edu/library/index.aspx,none found,none found,none found,http://law.wustl.edu/library/pages.aspx?id=1467
Mississippi College,http://law.mc.edu/,151 East Griffith Street,Jackson,MS,39201,Law Library,http://law.mc.edu/law-library/,none found,http://mclawlib.blogspot.com/,https://www.facebook.com/Mississippi-College-School-of-Law-Library-18399003066/,http://law.mc.edu/law-library/faculty-and-staff/
University of Mississippi,http://www.law.olemiss.edu/,481 Chucky Mullins Drive,University,MS,38677-1848,Grisham Law Library,http://library.law.olemiss.edu/,https://twitter.com/OleMissLawbrary,none found,https://www.facebook.com/University-of-Mississippi-Law-Library-25438732114/,http://library.law.olemiss.edu/law-library-staff-directory
University of Montana,http://www.umt.edu/law,32 Campus Drive,Missoula,MT,59812,William J. Jameson Law Library,http://www.umt.edu/law/library/default.php,none found,https://jamesonlawlibrary.wordpress.com,none found,http://www.umt.edu/law/library/about-us.php
University of North Carolina,http://www.law.unc.edu/,160 Ridge Road,Chapel Hill,NC,27599-3385,Katherine R. Everett Law Library,http://library.law.unc.edu/,https://twitter.com/UNCLawLibrary,http://blogs.law.unc.edu/library/,https://www.facebook.com/UNCLawLibrary/,https://library.law.unc.edu/about/directory/
Charlotte School of Law,http://www.charlottelaw.edu/,201 S. College St,Charlotte,NC,28244,Law Library,http://www.charlottelaw.edu/academics/library/,none found,http://charlotteschooloflawblog.com/,none found,http://cslguides.charlottelaw.edu/content.php?pid=234005&sid=5083781
Duke University,http://www.law.duke.edu/,210 Science Drive,Durham,NC,27708-0361,J. Michael Goodson Law Library,https://www.law.duke.edu/lib/,https://twitter.com/DukeLawLibrary,http://dukelawref.blogspot.com/,https://www.facebook.com/dukelawlibrary,https://www.law.duke.edu/lib/staffdirectory/
North Carolina Central University,http://law.nccu.edu/,640 Nelson Street,Durham,NC,27707,Law Library,http://law.nccu.edu/library/,https://twitter.com/ncculawlibrary,none found,https://www.facebook.com/NCCULawLibrary/,http://law.nccu.edu/library/about/staff/
Elon University,http://www.elon.edu/e-web/law,201 North Greene Street,Greensboro,NC,27401,Law Library,http://www.elon.edu/e-web/law/library/default.xhtml,none found,http://elonlawlibrary.blogspot.com/,none found,https://www.elon.edu/e/law/library/contact-us.html
Campbell University (Norman Adrian Wiggins School of Law),http://law.campbell.edu/,225 Hillsborough Street,Raleigh,NC,27603,Law Library,http://law.campbell.edu/page.cfm?id=6&n=law-library,none found,none found,none found,http://law-campbell.libguides.com/staff
Wake Forest University,http://www.law.wfu.edu/,1834 Wake Forest Road,Winston-Salem,NC,27109,Professional Center Library,http://library.law.wfu.edu/,https://twitter.com/wfupcl,http://library.law.wfu.edu/blog/,https://www.facebook.com/WFUPCL/,http://library.law.wfu.edu/about/our-staff/
University of North Dakota,http://www.law.und.nodak.edu/,2968 2nd Avenue North,Grand Forks,ND,58202-9004,Thormodsgard Law Library,http://law.und.edu/library/,https://twitter.com/undlawlibrary,none found,https://www.facebook.com/NDLawLibrary/,http://libguides.law.und.edu/c.php?g=229524&p=1522383
University of Nebraska - Lincoln,http://law.unl.edu/,1875 North 42nd Street,Lincoln,NE,68583,Marvin & Virginia Schmid Law Library,http://law.unl.edu/library/,https://twitter.com/schmidlibrary,https://schmidlawlibrary.wordpress.com,https://www.facebook.com/SchmidLawLibrary/,none found
Creighton University,http://law.creighton.edu/,2133 Cass Street,Omaha,NE,68178,Klutznick Law Library / McGrath North Mullin & Kratz Legal Research Center,https://law.creighton.edu/current-students/law-library,https://twitter.com/CreightonLawLib,http://blogs.creighton.edu/lawlibrarynotes/,none found,https://law.creighton.edu/current-students/law-library/administration-and-staff
University of New Hampshire,http://law.unh.edu/,2 White Street,Concord,NH,03301,Law Library,http://library.law.unh.edu/,none found,http://library.law.unh.edu/blog,https://www.facebook.com/UNH-Law-Library-101076786641536/,http://library.law.unh.edu/Contact
Rutgers University - Camden,http://www-camlaw.rutgers.edu/,217 NORTH FIFTH STREET,Camden,NJ,08102,Law Library,http://camlaw.rutgers.edu/law-library,https://twitter.com/RULawLibr,https://camdenlaw.wordpress.com,http://www.facebook.com/rutgers.law.library.camden,http://camlaw.rutgers.edu/librarians-staff
Rutgers University - Newark,http://law.newark.rutgers.edu,123 Washington Street,Newark,NJ,07102,Law Library,http://law-library.rutgers.edu/index.php,https://twitter.com/RULawLib,none found,https://www.facebook.com/rutgers.law.library.newark/,http://law-library.rutgers.edu/staff
Seton Hall,http://law.shu.edu/,1109 Raymond Boulevard,Newark,NJ,07102,Rodino Law Library  ,http://law.shu.edu/library/index.cfm,https://twitter.com/SHLawLibrary,none found,https://www.facebook.com/SHLawLibrary,http://law.shu.edu/faculty/staff/department_listing.cfm?id=Library
University of New Mexico,http://lawschool.unm.edu/,1117 Stanford NE,Albuquerque,NM,87131-0001,Law Library,http://lawlibrary.unm.edu/,none found,none found,https://www.facebook.com/University-of-New-Mexico-School-of-Law-Library-13891887822/,http://lawlibrary.unm.edu/about.php
University of Nevada - Las Vegas,http://law.unlv.edu/,4505 S. Maryland Parkway,Las Vegas,NV,89154-1080,Wiener-Rogers Law Library,http://law.unlv.edu/law-library,none found,none found,none found,http://law.unlv.edu/academics/law-library/about/staff-directory
Albany Law School,http://www.albanylaw.edu/,80 New Scotland Ave,Albany,NY,12208-3434,Schaffer Law Library,http://www.albanylaw.edu/library/Pages/default.aspx,https://twitter.com/AlbanyLawLib,https://albanylawlibrary.wordpress.com/,https://www.facebook.com/Albany-Law-School-Schaffer-Law-Library-207444285953834/,http://www.albanylaw.edu/library/Pages/default.aspx
Brooklyn Law School,http://www.brooklaw.edu/,250 Joralemon Street ,Brooklyn,NY,11201,Library,https://www.brooklaw.edu/library,https://twitter.com/BLSLibrary,http://www.blslibrary.com,https://www.facebook.com/BLSLibrary/,https://www.brooklaw.edu/intellectuallife/library/accessservicesandstaff/biosdepartmentssupportstaff/ourlibrarians?
SUNY Buffalo,http://www.buffalo.edu/law/,John Lord O'Brian Hall,Buffalo,NY,14203-2887,Charles B. Sears Law Library,http://law.lib.buffalo.edu/,https://twitter.com/UBLawLib,http://libweb.lib.buffalo.edu/blog/law/,https://www.facebook.com/ublawlib,http://law.lib.buffalo.edu/about/staff.asp
Touro College Jacob D. Fuchsberg Law Center,http://www.tourolaw.edu/,255 Eastview Drive,Central Islip,NY,11722-4539,Gould Law Library,http://www.tourolaw.edu/LawLibrary/,https://twitter.com/TouroLawLibrary,none found,https://www.facebook.com/GouldLawLibrary/,http://www.tourolaw.edu/LawLibrary/?pageid=243
Hofstra University,http://law.hofstra.edu,122 Hofstra University,Hempstead,NY,11549,Law Library,http://law.hofstra.edu/library,https://twitter.com/HofstraLawLib,http://lawblogs.hofstra.edu/lawlibrary/,https://www.facebook.com/Law-Library-Hofstra-University-School-of-Law-34975619288/,http://law.hofstra.edu/library/general/staff/index.html
Cornell University,http://www.lawschool.cornell.edu/,Myron Taylor Hall,Ithaca,NY,14853,Law Library,https://law.library.cornell.edu/,https://twitter.com/Cornell_Lawlib,none found,https://www.facebook.com/pages/Cornell-Law-Library/181054331977428,https://law.library.cornell.edu/about/contacts
City University Of New York,http://www.law.cuny.edu/,2 Court Square,Long Island City,NY,11101-4356 ,Law Library,http://www.law.cuny.edu/library.html,none found,none found,https://www.facebook.com/cunylawlibrary,http://www.law.cuny.edu/library/staff.html
